2025-11-14T06:09:01.000000000Z [inf]  Starting Container
2025-11-14T06:12:35.795562912Z [err]  100.64.0.3 - - [14/Nov/2025 06:12:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:12:55.780309148Z [err]  100.64.0.9 - - [14/Nov/2025 06:12:53] "GET /admin HTTP/1.1" 200 -
2025-11-14T06:12:55.780318516Z [err]  100.64.0.9 - - [14/Nov/2025 06:12:55] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-14T06:12:55.780325512Z [err]  100.64.0.9 - - [14/Nov/2025 06:12:55] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-14T06:12:55.791552504Z [err]  100.64.0.9 - - [14/Nov/2025 06:12:55] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2025-11-14T06:13:35.923199231Z [err]  100.64.0.2 - - [14/Nov/2025 06:13:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:13:35.923211999Z [err]  100.64.0.3 - - [14/Nov/2025 06:13:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:13:35.923223191Z [err]  100.64.0.3 - - [14/Nov/2025 06:13:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:13:35.923230684Z [err]  100.64.0.3 - - [14/Nov/2025 06:13:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:13:35.923237862Z [err]  100.64.0.3 - - [14/Nov/2025 06:13:31] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:13:35.923245773Z [err]  100.64.0.2 - - [14/Nov/2025 06:13:31] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:13:35.923246113Z [err]  100.64.0.2 - - [14/Nov/2025 06:13:31] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:13:35.923252196Z [err]  100.64.0.2 - - [14/Nov/2025 06:13:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:13:35.923255211Z [err]  100.64.0.3 - - [14/Nov/2025 06:13:31] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:13:35.923259410Z [err]  100.64.0.2 - - [14/Nov/2025 06:13:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:13:35.923262463Z [err]  100.64.0.10 - - [14/Nov/2025 06:13:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:13:35.923268907Z [err]  100.64.0.11 - - [14/Nov/2025 06:13:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:13:35.923275838Z [err]  100.64.0.3 - - [14/Nov/2025 06:13:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:13:35.923282527Z [err]  100.64.0.2 - - [14/Nov/2025 06:13:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:14:36.208266215Z [err]  100.64.0.2 - - [14/Nov/2025 06:14:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:14:36.208275361Z [err]  100.64.0.3 - - [14/Nov/2025 06:14:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:14:36.208280064Z [err]  100.64.0.2 - - [14/Nov/2025 06:14:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T06:14:36.208284882Z [err]  100.64.0.9 - - [14/Nov/2025 06:14:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:14:36.208289676Z [err]  100.64.0.12 - - [14/Nov/2025 06:14:32] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T06:14:36.208294217Z [err]  100.64.0.3 - - [14/Nov/2025 06:14:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:14:36.208298188Z [err]  100.64.0.2 - - [14/Nov/2025 06:14:32] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T06:14:36.208302289Z [err]  100.64.0.3 - - [14/Nov/2025 06:14:31] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:14:36.208303983Z [inf]  
2025-11-14T06:14:36.208308603Z [err]  100.64.0.3 - - [14/Nov/2025 06:14:31] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:14:36.208309867Z [inf]  [ADMIN] Daily cycle manually triggered from 100.64.0.10 at 2025-11-14T06:14:35.234376
2025-11-14T06:14:36.208314133Z [err]  100.64.0.3 - - [14/Nov/2025 06:14:31] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:14:36.208316076Z [inf]  [BANKROLL MODE] TEST - Initial: $50.0, Daily limit: $5.0
2025-11-14T06:14:36.208319122Z [err]  100.64.0.2 - - [14/Nov/2025 06:14:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T06:14:36.208328375Z [err]  100.64.0.2 - - [14/Nov/2025 06:14:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T06:14:36.208332427Z [err]  100.64.0.2 - - [14/Nov/2025 06:14:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T06:14:36.208337083Z [err]  100.64.0.3 - - [14/Nov/2025 06:14:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T06:14:36.208649291Z [inf]  ✓ Opinion.trade SDK initialized (wallet: 0x43C9bAd451ed65b5268cec681FCe42AdA00Fc675)
2025-11-14T06:14:36.208654326Z [inf]  [CACHE] Cleared data cache at start of cycle 2025-11-14T06:14:35.408150
2025-11-14T06:14:36.416640733Z [inf]  
2025-11-14T06:14:36.416648617Z [inf]  ================================================================================
2025-11-14T06:14:36.416655017Z [inf]  [DIAGNOSTIC] Inspecting SDK market object attributes:
2025-11-14T06:14:36.416662496Z [inf]  ================================================================================
2025-11-14T06:14:36.416669459Z [inf]  Type: <class 'opinion_api.models.openapi_market_data_open_api.OpenapiMarketDataOpenAPI'>
2025-11-14T06:14:36.416675937Z [inf]  Dir: ['_OpenapiMarketDataOpenAPI__properties', '__abstractmethods__', '__annotations__', '__class__', '__class_getitem__', '__class_vars__', '__copy__', '__deepcopy__', '__delattr__', '__dict__', '__dir__', '__doc__', '__eq__', '__fields__', '__fields_set__', '__format__', '__ge__', '__get_pydantic_core_schema__', '__get_pydantic_json_schema__', '__getattr__', '__getattribute__', '__getstate__', '__gt__', '__hash__', '__init__', '__init_subclass__', '__iter__', '__le__', '__lt__', '__module__', '__ne__', '__new__', '__pretty__', '__private_attributes__', '__pydantic_complete__', '__pydantic_computed_fields__', '__pydantic_core_schema__', '__pydantic_custom_init__', '__pydantic_decorators__', '__pydantic_extra__', '__pydantic_fields__', '__pydantic_fields_set__', '__pydantic_generic_metadata__', '__pydantic_init_subclass__', '__pydantic_on_complete__', '__pydantic_parent_namespace__', '__pydantic_post_init__', '__pydantic_private__', '__pydantic_root_model__', '__pydantic_serializer__', '__pydantic_setattr_handlers__', '__pydantic_validator__', '__reduce__', '__reduce_ex__', '__replace__', '__repr__', '__repr_args__', '__repr_name__', '__repr_recursion__', '__repr_str__', '__rich_repr__', '__setattr__', '__setstate__', '__signature__', '__sizeof__', '__slots__', '__str__', '__subclasshook__', '__weakref__', '_abc_impl', '_calculate_keys', '_copy_and_set_values', '_get_value', '_iter', '_setattr_handler', 'chain_id', 'child_markets', 'condition_id', 'construct', 'copy', 'created_at', 'cutoff_at', 'dict', 'from_dict', 'from_json', 'from_orm', 'json', 'market_id', 'market_title', 'model_computed_fields', 'model_config', 'model_construct', 'model_copy', 'model_dump', 'model_dump_json', 'model_extra', 'model_fields', 'model_fields_set', 'model_json_schema', 'model_parametrized_name', 'model_post_init', 'model_rebuild', 'model_validate', 'model_validate_json', 'model_validate_strings', 'no_label', 'no_token_id', 'parse_file', 'parse_obj', 'parse_raw', 'question_id', 'quote_token', 'resolved_at', 'result_token_id', 'rules', 'schema', 'schema_json', 'status', 'status_enum', 'to_dict', 'to_json', 'to_str', 'update_forward_refs', 'validate', 'volume', 'yes_label', 'yes_token_id']
2025-11-14T06:14:36.421595859Z [inf]  
2025-11-14T06:14:36.421605292Z [inf]  All attributes and values:
2025-11-14T06:14:36.421612139Z [inf]    chain_id: 56 (type: str)
2025-11-14T06:14:36.421618281Z [inf]    child_markets: None (type: NoneType)
2025-11-14T06:14:36.421623990Z [inf]    condition_id:  (type: str)
2025-11-14T06:14:36.421632705Z [inf]    construct: <bound method BaseModel.construct of <class 'opinion_api.models.openapi_market_data_open_api.OpenapiMarketDataOpenAPI'>> (type: method)
2025-11-14T06:14:36.421638299Z [inf]    copy: <bound method BaseModel.copy of OpenapiMarketDataOpenAPI(chain_id='56', child_markets=None, condition_id='', created_at=1763051685, cutoff_at=1763164800, market_id=1741, market_title='Bitcoin Up or Down on November 14?(By 12:00 ET)', no_label='DOWN', no_token_id='91018970723383945947081266674754316249604136933795983503568791999316967625715', question_id='ec43b6f4b8c74fa171f5bb38550917a748aa04c93de2f7f4f6a5c8faf09b5115', quote_token='0x55d398326f99059fF775485246999027B3197955', resolved_at=0, result_token_id='', rules='This market will resolve to "Up" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is lower than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nThis market will resolve to "Down" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is higher than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nIf the final "Close" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.\n\nThe resolution source for this market is Binance, specifically the BTC/USDT "Close" prices currently available at https://www.binance.com/en/trade/BTC_USDT with "1m" and "Candles" selected on the top bar.\n\nPlease note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.', status=<ModelsTopicStatus.TopicStatusActivated: 2>, status_enum='Activated', volume='9525.744000000000000000', yes_label='UP', yes_token_id='48882724128435502781310151024608110816311675396117519564621583904823670689991')> (type: method)
2025-11-14T06:14:36.421643472Z [inf]    created_at: 1763051685 (type: int)
2025-11-14T06:14:36.421649130Z [inf]    cutoff_at: 1763164800 (type: int)
2025-11-14T06:14:36.421655048Z [inf]    dict: <bound method BaseModel.dict of OpenapiMarketDataOpenAPI(chain_id='56', child_markets=None, condition_id='', created_at=1763051685, cutoff_at=1763164800, market_id=1741, market_title='Bitcoin Up or Down on November 14?(By 12:00 ET)', no_label='DOWN', no_token_id='91018970723383945947081266674754316249604136933795983503568791999316967625715', question_id='ec43b6f4b8c74fa171f5bb38550917a748aa04c93de2f7f4f6a5c8faf09b5115', quote_token='0x55d398326f99059fF775485246999027B3197955', resolved_at=0, result_token_id='', rules='This market will resolve to "Up" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is lower than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nThis market will resolve to "Down" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is higher than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nIf the final "Close" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.\n\nThe resolution source for this market is Binance, specifically the BTC/USDT "Close" prices currently available at https://www.binance.com/en/trade/BTC_USDT with "1m" and "Candles" selected on the top bar.\n\nPlease note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.', status=<ModelsTopicStatus.TopicStatusActivated: 2>, status_enum='Activated', volume='9525.744000000000000000', yes_label='UP', yes_token_id='48882724128435502781310151024608110816311675396117519564621583904823670689991')> (type: method)
2025-11-14T06:14:36.421660701Z [inf]    from_dict: <bound method OpenapiMarketDataOpenAPI.from_dict of <class 'opinion_api.models.openapi_market_data_open_api.OpenapiMarketDataOpenAPI'>> (type: method)
2025-11-14T06:14:36.421665944Z [inf]    from_json: <bound method OpenapiMarketDataOpenAPI.from_json of <class 'opinion_api.models.openapi_market_data_open_api.OpenapiMarketDataOpenAPI'>> (type: method)
2025-11-14T06:14:36.421671641Z [inf]    from_orm: <bound method BaseModel.from_orm of <class 'opinion_api.models.openapi_market_data_open_api.OpenapiMarketDataOpenAPI'>> (type: method)
2025-11-14T06:14:36.421677425Z [inf]    json: <bound method BaseModel.json of OpenapiMarketDataOpenAPI(chain_id='56', child_markets=None, condition_id='', created_at=1763051685, cutoff_at=1763164800, market_id=1741, market_title='Bitcoin Up or Down on November 14?(By 12:00 ET)', no_label='DOWN', no_token_id='91018970723383945947081266674754316249604136933795983503568791999316967625715', question_id='ec43b6f4b8c74fa171f5bb38550917a748aa04c93de2f7f4f6a5c8faf09b5115', quote_token='0x55d398326f99059fF775485246999027B3197955', resolved_at=0, result_token_id='', rules='This market will resolve to "Up" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is lower than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nThis market will resolve to "Down" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is higher than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nIf the final "Close" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.\n\nThe resolution source for this market is Binance, specifically the BTC/USDT "Close" prices currently available at https://www.binance.com/en/trade/BTC_USDT with "1m" and "Candles" selected on the top bar.\n\nPlease note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.', status=<ModelsTopicStatus.TopicStatusActivated: 2>, status_enum='Activated', volume='9525.744000000000000000', yes_label='UP', yes_token_id='48882724128435502781310151024608110816311675396117519564621583904823670689991')> (type: method)
2025-11-14T06:14:36.421683663Z [inf]    market_id: 1741 (type: int)
2025-11-14T06:14:36.421689509Z [inf]    market_title: Bitcoin Up or Down on November 14?(By 12:00 ET) (type: str)
2025-11-14T06:14:36.421694966Z [inf]    model_computed_fields: {} (type: dict)
2025-11-14T06:14:36.421700988Z [inf]    model_config: {'populate_by_name': True, 'validate_assignment': True, 'protected_namespaces': (), 'validate_by_alias': True, 'validate_by_name': True} (type: dict)
2025-11-14T06:14:36.421713979Z [inf]    model_construct: <bound method BaseModel.model_construct of <class 'opinion_api.models.openapi_market_data_open_api.OpenapiMarketDataOpenAPI'>> (type: method)
2025-11-14T06:14:36.421719399Z [inf]    model_copy: <bound method BaseModel.model_copy of OpenapiMarketDataOpenAPI(chain_id='56', child_markets=None, condition_id='', created_at=1763051685, cutoff_at=1763164800, market_id=1741, market_title='Bitcoin Up or Down on November 14?(By 12:00 ET)', no_label='DOWN', no_token_id='91018970723383945947081266674754316249604136933795983503568791999316967625715', question_id='ec43b6f4b8c74fa171f5bb38550917a748aa04c93de2f7f4f6a5c8faf09b5115', quote_token='0x55d398326f99059fF775485246999027B3197955', resolved_at=0, result_token_id='', rules='This market will resolve to "Up" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is lower than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nThis market will resolve to "Down" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is higher than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nIf the final "Close" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.\n\nThe resolution source for this market is Binance, specifically the BTC/USDT "Close" prices currently available at https://www.binance.com/en/trade/BTC_USDT with "1m" and "Candles" selected on the top bar.\n\nPlease note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.', status=<ModelsTopicStatus.TopicStatusActivated: 2>, status_enum='Activated', volume='9525.744000000000000000', yes_label='UP', yes_token_id='48882724128435502781310151024608110816311675396117519564621583904823670689991')> (type: method)
2025-11-14T06:14:36.421725402Z [inf]    model_dump: <bound method BaseModel.model_dump of OpenapiMarketDataOpenAPI(chain_id='56', child_markets=None, condition_id='', created_at=1763051685, cutoff_at=1763164800, market_id=1741, market_title='Bitcoin Up or Down on November 14?(By 12:00 ET)', no_label='DOWN', no_token_id='91018970723383945947081266674754316249604136933795983503568791999316967625715', question_id='ec43b6f4b8c74fa171f5bb38550917a748aa04c93de2f7f4f6a5c8faf09b5115', quote_token='0x55d398326f99059fF775485246999027B3197955', resolved_at=0, result_token_id='', rules='This market will resolve to "Up" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is lower than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nThis market will resolve to "Down" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is higher than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nIf the final "Close" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.\n\nThe resolution source for this market is Binance, specifically the BTC/USDT "Close" prices currently available at https://www.binance.com/en/trade/BTC_USDT with "1m" and "Candles" selected on the top bar.\n\nPlease note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.', status=<ModelsTopicStatus.TopicStatusActivated: 2>, status_enum='Activated', volume='9525.744000000000000000', yes_label='UP', yes_token_id='48882724128435502781310151024608110816311675396117519564621583904823670689991')> (type: method)
2025-11-14T06:14:36.421730616Z [inf]    model_dump_json: <bound method BaseModel.model_dump_json of OpenapiMarketDataOpenAPI(chain_id='56', child_markets=None, condition_id='', created_at=1763051685, cutoff_at=1763164800, market_id=1741, market_title='Bitcoin Up or Down on November 14?(By 12:00 ET)', no_label='DOWN', no_token_id='91018970723383945947081266674754316249604136933795983503568791999316967625715', question_id='ec43b6f4b8c74fa171f5bb38550917a748aa04c93de2f7f4f6a5c8faf09b5115', quote_token='0x55d398326f99059fF775485246999027B3197955', resolved_at=0, result_token_id='', rules='This market will resolve to "Up" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is lower than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nThis market will resolve to "Down" if the "Close" price for the Binance 1 minute candle for BTC/USDT Nov 13 \'25 12:00 in the ET timezone (noon) is higher than the final "Close" price for the Nov 14 \'25 12:00 ET candle.\n\nIf the final "Close" price for both of these candles is exactly equal on Binance, this market will resolve 50-50.\n\nThe resolution source for this market is Binance, specifically the BTC/USDT "Close" prices currently available at https://www.binance.com/en/trade/BTC_USDT with "1m" and "Candles" selected on the top bar.\n\nPlease note that this market is about the price according to Binance BTC/USDT, not according to other sources or spot markets.', status=<ModelsTopicStatus.TopicStatusActivated: 2>, status_enum='Activated', volume='9525.744000000000000000', yes_label='UP', yes_token_id='48882724128435502781310151024608110816311675396117519564621583904823670689991')> (type: method)
2025-11-14T06:14:36.422401088Z [inf]    model_extra: None (type: NoneType)
