2025-11-14T20:01:08.000000000Z [inf]  Starting Container
2025-11-14T20:02:26.903093283Z [err]  [2025-11-14 20:02:26] [INFO] [BANKROLL MODE] TEST - Initial: $50.0, Daily limit: $5.0
2025-11-14T20:02:26.903098230Z [inf]  ✓ Opinion.trade SDK initialized (wallet: 0x43C9bAd451ed65b5268cec681FCe42AdA00Fc675)
2025-11-14T20:02:27.782422596Z [inf]  [INFO] Opinion.trade API: Retrieved 16 active markets
2025-11-14T20:02:27.782431486Z [err]  [2025-11-14 20:02:27] [INFO] [INFO] Fetched 16 events from Opinion.trade
2025-11-14T20:02:27.782440044Z [err]  [2025-11-14 20:02:27] [INFO] [CATEGORY] Events grouped into 2 categories: {'Crypto': 6, 'Other': 10}
2025-11-14T20:02:27.785687006Z [err]  Processing cycle for ChatGPT
2025-11-14T20:02:27.785698718Z [err]  [2025-11-14 20:02:27] [INFO] [INFO] ChatGPT - Analyzing 2 categories
2025-11-14T20:02:27.785894522Z [err]  [2025-11-14 20:02:27] [INFO] [INFO] 
2025-11-14T20:02:28.826143352Z [inf]  [CACHE MISS] Fetched & cached technical data for BTC
2025-11-14T20:02:28.826148265Z [inf]  [CACHE MISS] Fetched & cached news data for BTC
2025-11-14T20:02:28.902680644Z [inf]  [CACHE MISS] Fetched & cached volatility data for BTC-USD
2025-11-14T20:02:32.031417628Z [inf]  [CACHE MISS] Fetched & cached technical data for ETH
2025-11-14T20:02:32.766076785Z [inf]  [CACHE MISS] Fetched & cached news data for ETH
2025-11-14T20:02:32.766088732Z [inf]  [CACHE MISS] Fetched & cached volatility data for ETH-USD
2025-11-14T20:02:33.844008683Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:33.844015736Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:33.844020904Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:34.936527795Z [err]  100.64.0.2 - - [14/Nov/2025 20:02:34] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:02:34.936539832Z [err]  100.64.0.2 - - [14/Nov/2025 20:02:34] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:02:34.936546762Z [err]  100.64.0.2 - - [14/Nov/2025 20:02:34] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:02:34.936554475Z [err]  100.64.0.2 - - [14/Nov/2025 20:02:34] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:02:34.936561112Z [err]  100.64.0.2 - - [14/Nov/2025 20:02:34] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:02:34.988138676Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:34.988145596Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:34.988152308Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:35.875696654Z [err]  100.64.0.2 - - [14/Nov/2025 20:02:35] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:02:36.934037093Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:36.934047313Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:36.934053641Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:38.927597396Z [err]  [2025-11-14 20:02:38] [INFO] [INFO] ChatGPT - No opportunities found
2025-11-14T20:02:38.927604531Z [err]  [2025-11-14 20:02:38] [INFO] [INFO] ChatGPT - Cycle complete: 0 bets placed, 6 skipped, 6 events analyzed
2025-11-14T20:02:38.927611667Z [err]  [2025-11-14 20:02:38] [INFO] [INFO] 
2025-11-14T20:02:38.927617423Z [err]  Processing cycle for Gemini
2025-11-14T20:02:38.927624332Z [err]  [2025-11-14 20:02:38] [INFO] [INFO] Gemini - Analyzing 2 categories
2025-11-14T20:02:39.037979762Z [inf]  [CACHE HIT] Technical data for BTC
2025-11-14T20:02:39.037989009Z [inf]  [CACHE HIT] News data for BTC
2025-11-14T20:02:39.037996357Z [inf]  [CACHE HIT] Volatility data for BTC
2025-11-14T20:02:39.058902542Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:39.058911633Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:39.058919642Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:39.058920843Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:39.058927113Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:39.058930206Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:39.058937391Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:39.058939278Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:39.058945325Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:39.058952338Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:39.058959988Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:39.058967921Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:39.062283516Z [err]  [2025-11-14 20:02:39] [INFO] [INFO] Gemini - No opportunities found
2025-11-14T20:02:39.062290046Z [err]  [2025-11-14 20:02:39] [INFO] [INFO] Gemini - Cycle complete: 0 bets placed, 6 skipped, 6 events analyzed
2025-11-14T20:02:39.062297153Z [err]  [2025-11-14 20:02:39] [INFO] [INFO] 
2025-11-14T20:02:39.062303871Z [err]  Processing cycle for Qwen
2025-11-14T20:02:39.062309238Z [err]  [2025-11-14 20:02:39] [INFO] [INFO] Qwen - Analyzing 2 categories
2025-11-14T20:02:39.967771263Z [inf]  [CACHE HIT] Technical data for BTC
2025-11-14T20:02:39.967777747Z [inf]  [CACHE HIT] News data for BTC
2025-11-14T20:02:39.967784866Z [inf]  [CACHE HIT] Volatility data for BTC
2025-11-14T20:02:40.689746710Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:40.689783255Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:40.689790231Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:40.689797537Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:40.689804557Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:40.689812799Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:40.689818912Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:40.689824656Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:40.689832057Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:40.689841388Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:02:40.689847701Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:02:40.689854873Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:02:41.030147975Z [err]  [2025-11-14 20:02:41] [INFO] [INFO] Qwen - No opportunities found
2025-11-14T20:02:41.030158772Z [err]  [2025-11-14 20:02:41] [INFO] [INFO] Qwen - Cycle complete: 0 bets placed, 6 skipped, 6 events analyzed
2025-11-14T20:02:41.030166764Z [err]  [2025-11-14 20:02:41] [INFO] [INFO] 
2025-11-14T20:02:41.030172828Z [err]  Processing cycle for Deepseek
2025-11-14T20:02:41.030178501Z [err]  [2025-11-14 20:02:41] [INFO] [INFO] Deepseek - Analyzing 2 categories
2025-11-14T20:02:41.709086922Z [inf]  [CACHE HIT] Volatility data for BTC
2025-11-14T20:02:41.709146664Z [inf]  [CACHE HIT] Technical data for BTC
2025-11-14T20:02:41.709155822Z [inf]  [CACHE HIT] News data for BTC
2025-11-14T20:03:01.135453696Z [err]  100.64.0.3 - - [14/Nov/2025 20:02:53] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:03:01.135461694Z [err]  100.64.0.3 - - [14/Nov/2025 20:02:53] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:03:01.135469694Z [err]  100.64.0.3 - - [14/Nov/2025 20:02:53] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:03:01.135474755Z [err]  100.64.0.3 - - [14/Nov/2025 20:02:53] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:03:01.135480969Z [err]  100.64.0.3 - - [14/Nov/2025 20:02:53] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:03:01.135486759Z [err]  100.64.0.5 - - [14/Nov/2025 20:02:53] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T20:03:01.135492382Z [err]  100.64.0.3 - - [14/Nov/2025 20:02:53] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:03:04.850506293Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:04] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:03:04.850513151Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:04] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:03:04.850521179Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:04] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:03:04.850529883Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:04] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:03:04.850537258Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:04] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:03:05.185978659Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:05] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:03:25.166954436Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:03:25.166964493Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:03:25.166972188Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:03:25.166980249Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:23] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:03:25.166993880Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:23] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:03:25.167005065Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:23] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:03:25.167015163Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:23] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:03:25.167021101Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:23] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:03:25.167026444Z [err]  100.64.0.6 - - [14/Nov/2025 20:03:23] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T20:03:25.167035427Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:23] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:03:34.924130938Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:34] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:03:34.924138722Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:34] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:03:34.924145530Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:34] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:03:34.924153230Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:34] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:03:34.924159996Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:34] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:03:35.258617720Z [err]  100.64.0.2 - - [14/Nov/2025 20:03:35] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:03:55.267204905Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:03:55.267217698Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:03:55.267225372Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:03:55.267232179Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:53] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:03:55.267241035Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:53] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:03:55.267247695Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:53] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:03:55.267255356Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:53] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:03:55.267261457Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:53] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:03:55.267268070Z [err]  100.64.0.7 - - [14/Nov/2025 20:03:53] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T20:03:55.267274647Z [err]  100.64.0.3 - - [14/Nov/2025 20:03:53] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:04:25.620950530Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:04:25.620965922Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:04:25.620975201Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:04:25.620983524Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:04:25.620990939Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:04:25.620998567Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:04:25.621005184Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:04:25.621012543Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T20:04:25.621020250Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:23] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:04:25.621132483Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:04:33.516912613Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:32] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:04:33.516917938Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:32] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:04:33.516923662Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:32] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:04:33.516929472Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:32] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:04:33.516935041Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:32] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:04:33.516940601Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:33] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:04:34.602418534Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:34] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:04:34.605276260Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:34] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:04:34.614888249Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:34] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:04:34.614899266Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:34] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:04:34.614908531Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:34] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:04:35.558933824Z [err]  100.64.0.2 - - [14/Nov/2025 20:04:34] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:04:54.800486098Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:53] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:04:54.800494747Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:53] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:04:54.800501911Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:53] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:04:54.800512624Z [err]  100.64.0.6 - - [14/Nov/2025 20:04:53] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T20:04:54.800520446Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:53] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:04:54.800527706Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:53] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:04:54.800535743Z [err]  100.64.0.3 - - [14/Nov/2025 20:04:53] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:04:57.576078007Z [inf]  [CACHE HIT] Technical data for ETH
2025-11-14T20:04:57.576085343Z [inf]  [CACHE HIT] News data for ETH
2025-11-14T20:04:57.576092604Z [inf]  [CACHE HIT] Volatility data for ETH
2025-11-14T20:05:05.157851599Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:04] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:05:05.157865742Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:04] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:05:05.157874638Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:04] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:05:05.157885500Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:04] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:05:05.157894248Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:04] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:05:06.060886218Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:05] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:05:26.015737564Z [err]  100.64.0.3 - - [14/Nov/2025 20:05:23] "GET /api/live-metrics HTTP/1.1" 200 -
2025-11-14T20:05:26.015760108Z [err]  100.64.0.8 - - [14/Nov/2025 20:05:23] "GET /api/ai-thinking HTTP/1.1" 200 -
2025-11-14T20:05:26.015771172Z [err]  100.64.0.3 - - [14/Nov/2025 20:05:23] "GET /api/market-header HTTP/1.1" 200 -
2025-11-14T20:05:26.015884274Z [err]  100.64.0.3 - - [14/Nov/2025 20:05:23] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:05:26.015890123Z [err]  100.64.0.3 - - [14/Nov/2025 20:05:23] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:05:26.015896433Z [err]  100.64.0.3 - - [14/Nov/2025 20:05:23] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:05:26.015901882Z [err]  100.64.0.3 - - [14/Nov/2025 20:05:23] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:05:34.998455243Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:34] "GET /api/ai-decisions-history?limit=50 HTTP/1.1" 200 -
2025-11-14T20:05:34.998460402Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:34] "GET /api/active-positions HTTP/1.1" 200 -
2025-11-14T20:05:34.998465287Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:34] "GET /api/live-chart-history HTTP/1.1" 200 -
2025-11-14T20:05:34.998470704Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:34] "GET /api/leaderboard HTTP/1.1" 200 -
2025-11-14T20:05:34.998480586Z [err]  100.64.0.2 - - [14/Nov/2025 20:05:34] "GET /api/live-metrics HTTP/1.1" 200 -
